track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
7IQTt9WiyBf92QfzwTUdqZ,Kahit Sa Panaginip,4qFxP3qN9GsnZDOkAE6x2m,December Avenue,3hTA6Q0yakKIckAQOq8m9S,278346,2019-11-17,45,0.469,0.769,8,-4.832,0,0.033,0.0362,3.03e-05,0.088,0.474,75.996,7IQTt9WiyBf92QfzwTUdqZ,7IQTt9WiyBf92QfzwTUdqZ
7hoP5NDUXEbmOawvEAsi8h,'Di Na Babalik,5HIZU0JzM0AgfItVOm4E08,This Band,0pFRzLxgSt9QlXKuukR8A4,340262,2019-02-03,56,0.358,0.435,10,-7.265,1,0.0349,0.00819,0.000936,0.112,0.14,76.132,7hoP5NDUXEbmOawvEAsi8h,7hoP5NDUXEbmOawvEAsi8h
6IdEQ3HUseBeRUYFSzSMdL,Zebbiana,117XFtbZPnCI1EYKjYZWJc,Skusta Clee,4AaygWd1ZnCzZ4ak9EM23s,304664,2019-07-26,62,0.677,0.433,8,-8.518,1,0.037,0.545,0.0,0.105,0.498,134.006,6IdEQ3HUseBeRUYFSzSMdL,6IdEQ3HUseBeRUYFSzSMdL
5CThcDR9mycL3TjNKQ2qFk,"Pangako - Recorded at Kodama Studios, Philippines",4nGp682WMiKS4X217kPw8C,Silent Sanctuary,6BXhni1J2zzkKWpU0tSZ2A,321486,2019-02-14,42,0.344,0.405,2,-7.739,1,0.0289,0.621,0.136,0.195,0.385,73.667,5CThcDR9mycL3TjNKQ2qFk,5CThcDR9mycL3TjNKQ2qFk
2mwd0LWLBgtQBEOLG96nbU,Bagay Tayo,0WleeEe3UurwlNbDGhb5Yz,ALLMO$T,6r5Q4HTHG4DGcZ7mrfgaRw,397033,2018-12-04,58,0.804,0.557,0,-8.658,1,0.163,0.322,0.0,0.106,0.645,100.053,2mwd0LWLBgtQBEOLG96nbU,2mwd0LWLBgtQBEOLG96nbU
2gnVqlNifLIGvinryubyG4,Bawat Kaluluwa,4k9wp4ipHdA1bu1T4x1ZTG,IV Of Spades,5mGR6qKnpILzSzq1yyAUXk,238571,2019-01-18,50,0.705,0.519,5,-7.29,1,0.0341,0.0609,0.0324,0.305,0.521,116.983,2gnVqlNifLIGvinryubyG4,2gnVqlNifLIGvinryubyG4
4T7CM071eEoHudiDShZlCJ,Tala,6aiCKnIN68hohzU3ZzNq48,Sarah Geronimo,42F8uTX1DR3OiaKVtrz3Gr,245053,2015-12-04,59,0.598,0.795,8,-1.602,1,0.0497,0.623,0.000193,0.0971,0.499,97.999,4T7CM071eEoHudiDShZlCJ,4T7CM071eEoHudiDShZlCJ
1WGNZKS84DN0ogO5xjB8A4,Wishes & Dreams,5elcNQkZ6FCZA3grSOMngY,MYMP,6J9W0FByBDDQr2w5ARUO8W,306461,2019-10-04,38,0.616,0.644,9,-10.752,1,0.0376,0.319,0.000269,0.185,0.461,129.987,1WGNZKS84DN0ogO5xjB8A4,1WGNZKS84DN0ogO5xjB8A4
6BZLjTOKBPqhq4xpOLkjrp,Nandyan Agad Ako,2iB7AJhJmkWkkehY9ccB0j,Ex Battalion,0eLjp1QFnlSL8Oaoz17RRY,240178,2018-08-06,56,0.799,0.529,9,-9.17,1,0.0615,0.661,0.0,0.0856,0.601,128.05,6BZLjTOKBPqhq4xpOLkjrp,6BZLjTOKBPqhq4xpOLkjrp
6Q9QEIEMWbBkB7CXzNmpNZ,Sana Na Lang,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,2LnnagQi5RIc9I8ZqnEFns,223660,2019-11-29,33,0.633,0.517,2,-9.32,1,0.0428,0.242,0.000119,0.101,0.44,75.014,6Q9QEIEMWbBkB7CXzNmpNZ,6Q9QEIEMWbBkB7CXzNmpNZ
5s6Nmq9XjZoPcLR5FUihwT,Unfair,0uD1WQbTE0pNDiJe0iGEaU,Jnske,0ooqKStMqNTGwPjnA7KEMR,228864,2019-02-14,37,0.832,0.441,7,-10.189,0,0.0816,0.00513,0.0,0.094,0.183,119.974,5s6Nmq9XjZoPcLR5FUihwT,5s6Nmq9XjZoPcLR5FUihwT
2rzc2Lr2oYz73WLyOKkBW2,Sigurado,3wbCeEPAW6po7J46netxMT,Up Dharma Down,1jflilZfnSbZ9vU3aMNnxL,339706,2019-07-21,44,0.757,0.732,8,-6.879,0,0.036,0.127,0.0114,0.0722,0.964,113.008,2rzc2Lr2oYz73WLyOKkBW2,2rzc2Lr2oYz73WLyOKkBW2
3Hefk2ACBq0IKALShUuVcT,I Am Beautiful,3wNylAjJX1PiCpMKx8Lrfp,Regine Velasquez,6AJDn0lp6emSRIVZ0AmT3M,248125,2019-11-08,27,0.537,0.553,2,-6.231,1,0.033,0.228,1.22e-06,0.117,0.276,96.072,3Hefk2ACBq0IKALShUuVcT,3Hefk2ACBq0IKALShUuVcT
3DVnV3LELIUSvrzbofWdMM,Andiyan,2U5mF0PZqGu6glnz55yY0y,John Roa,199k0nQ3FaKMKghEkQ2X4V,248000,2019-07-12,44,0.497,0.156,5,-15.291,0,0.0395,0.931,5.36e-06,0.123,0.534,97.821,3DVnV3LELIUSvrzbofWdMM,3DVnV3LELIUSvrzbofWdMM
0AiUFrU3Bj0ZzYFSWoAM0O,Esmi,0n4a5imdLBN24fIrBWoqrv,Because,2G5r2CQkrVphz50eaPic5Z,220263,2019-10-04,53,0.783,0.37,2,-13.875,1,0.117,0.135,0.0,0.0742,0.403,75.965,0AiUFrU3Bj0ZzYFSWoAM0O,0AiUFrU3Bj0ZzYFSWoAM0O
59aZ0ioyVrmtdut1KfU5aT,Amatz,6ogIjp0fsbUxlqy9q2rvrT,Shanti Dope,6uydeIIBbr8sN6XdI3rpuy,234374,2019-03-22,57,0.825,0.496,1,-8.562,1,0.0503,0.00817,0.000511,0.0827,0.185,127.987,59aZ0ioyVrmtdut1KfU5aT,59aZ0ioyVrmtdut1KfU5aT
5MaKbLH38nShLXRzZ0UodN,Agimat,4GBFKKuwmZUnAJt6nBal7A,Kamikazee,2JZmd513T3zjfegn3nUy2i,256865,2019-10-27,42,0.502,0.939,3,-5.071,1,0.141,0.00672,1.2e-05,0.123,0.462,180.083,5MaKbLH38nShLXRzZ0UodN,5MaKbLH38nShLXRzZ0UodN
7ub42AaogkGijtfoXWMyKR,Buko,6urxZktbtGcTIIqxQZ1d8q,Jireh Lim,0fw1QG6vFFLmpwOvjLsp4G,315973,2013-07-30,0,0.61,0.489,9,-7.827,1,0.0256,0.487,0.0,0.112,0.425,95.023,7ub42AaogkGijtfoXWMyKR,7ub42AaogkGijtfoXWMyKR
2kdc7uRII82wJqCqB1aFX9,Hawak Kamay [Theme Of Kasal Kasali Kasalo],0DnjaQqb436AH1idffI6CQ,Yeng Constantino,0gPwficDiqcCdDFAjczUEP,240600,2007-01-17,0,0.281,0.466,7,-7.055,1,0.0571,0.512,1.55e-05,0.152,0.231,179.549,2kdc7uRII82wJqCqB1aFX9,2kdc7uRII82wJqCqB1aFX9
4lzBHLIqdQBSaI5gsX1jmA,Hawak-Kamay,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,3mXEN1cz0f0scFeCVp9lhG,226053,2006-09-30,0,0.49,0.24,7,-14.35,1,0.0374,0.654,8.37e-06,0.0976,0.33,179.735,4lzBHLIqdQBSaI5gsX1jmA,4lzBHLIqdQBSaI5gsX1jmA
0ykcDqmshWnVhHPCyQcVTN,Muli,0Wrkrvdk7Gf5EezKGqMIMI,Bugoy,72NpamHJDGbVRc2BvDK9it,244453,2008-11-18,0,0.442,0.248,7,-9.444,1,0.0305,0.917,0.0,0.209,0.324,124.153,0ykcDqmshWnVhHPCyQcVTN,0ykcDqmshWnVhHPCyQcVTN
37uOgVZzE62wNBtz6z70Wv,Dadalhin,24iA5JWciA6YyE1iticpjY,Bryan Termulo,5UfMJltl5T7wfeBs8Cyhsn,287324,2012-01-15,0,0.551,0.464,10,-8.197,1,0.0286,0.379,0.0,0.13,0.24,148.202,37uOgVZzE62wNBtz6z70Wv,37uOgVZzE62wNBtz6z70Wv
5ifJus9ROgVqIfF6Dau39k,Lakas Tama,3l9mRJIGzW7RrEE2H8Ldvq,Siakol,5uS8gqgPqLS9nDmIMcL4g0,209423,2008-12-11,0,0.522,0.911,11,-6.677,1,0.0458,0.0165,0.0741,0.069,0.389,138.226,5ifJus9ROgVqIfF6Dau39k,5ifJus9ROgVqIfF6Dau39k
0aui1glEVwPzUIKsThu4YQ,Harana,7374lH6kwx9uQATYQ9H3Cp,Eraserheads,2DIpgoeZAbwk3wF1qSDj8v,365160,2004-01-23,50,0.412,0.678,7,-10.837,1,0.0307,0.032,0.000307,0.111,0.59,130.711,0aui1glEVwPzUIKsThu4YQ,0aui1glEVwPzUIKsThu4YQ
2j22xaEJb6S17Wn9Rngpn7,Nakapagtataka,1xT8391pXUqyYLBzWmJXzF,Arnee Hidalgo,7EGGjMN4re3oe6n9a4y1Ju,386124,2007-06-15,0,0.388,0.248,3,-8.524,1,0.0343,0.897,8.64e-06,0.378,0.252,123.876,2j22xaEJb6S17Wn9Rngpn7,2j22xaEJb6S17Wn9Rngpn7
3WRDaYNUicPZa2UQ8QFRa2,Sabihin Mo Na,0DnjaQqb436AH1idffI6CQ,Yeng Constantino,6rqb6f9Kp6jcCkB96ExJRL,271546,2008-05-26,0,0.521,0.659,7,-4.343,1,0.026,0.0639,0.0,0.105,0.32,140.019,3WRDaYNUicPZa2UQ8QFRa2,3WRDaYNUicPZa2UQ8QFRa2
3NKvolU1Too1Xa7jifaqQa,Crazy For You,2AGl0dUCflM3mAfFcJVq5d,Michael Cruz,3reglY59T7IWZ4qLe0yXiK,315219,2010-10-06,0,0.487,0.558,9,-7.754,1,0.0253,0.00914,0.0,0.149,0.36,172.196,3NKvolU1Too1Xa7jifaqQa,3NKvolU1Too1Xa7jifaqQa
