artist_id,artist_name,total_followers,genres,popularity
7pbDxGE6nQSZVfiFdq9lOL,Rex Orange County,3006334,"['bedroom pop', 'pop']",82
7jVv8c5Fj3E9VhNjxT4snq,Lil Nas X,4769910,"['country rap', 'lgbtq+ hip hop', 'pop rap', 'queer country']",91
57RB9qdhVRreynzLJ5tPkD,Avery,95,[],0
3ZZzT0naD25RhY2uZvIKkJ,EVERGLOW,902286,"['k-pop', 'k-pop girl group']",69
3nlHsNqwCSvT988ZfSW1Yh,Ronan Keating,704697,"['dance pop', 'europop', 'soft rock']",70
4HPuFCMUiNcV4f3ew0flbZ,Alisson Shore,136185,"['opm', 'pinoy indie', 'pinoy r&b']",57
0jarApAsbmiCkYhz0590mE,Freestyle,131426,['opm'],59
6USv9qhCn6zfxlBQIYJ9qs,Dominic Fike,520880,"['alternative pop rock', 'pop']",79
70ljCILl0aVXitf3K39YvT,Join The Club,225078,"['opm', 'pinoy indie', 'pinoy rock']",52
56oDRnqbIiwx4mymNEv7dS,Lizzo,3829016,"['dance pop', 'escape room', 'minnesota hip hop', 'pop', 'pop rap', 'post-teen pop', 'trap queen']",79
6vCnF48qqPHgVMBEvcbgkU,CLR,77239,"['pinoy alternative rap', 'pinoy hip hop', 'pinoy r&b', 'pinoy trap', 'tagalog rap']",54
6gcteR920pLEynlHzjSRYd,Kiyo,199754,"['opm', 'pinoy hip hop', 'tagalog rap']",61
5DuzBeOgFwViFcv00Q5PFb,WINNER,2070672,"['k-pop', 'k-pop boy group']",63
2UeuiDT17tm6ljs9D4bSMX,Agsunta,395724,"['opm', 'pinoy rock']",56
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator",6246758,"['hip hop', 'rap']",86
24CgJHK6T7C5OmUbiLLMjJ,Luh Kel,700747,"['pop r&b', 'st louis rap']",70
0C8kbAJOGo7CHx8jDTyTfR,Mena Massoud,15755,['show tunes'],56
2Zi3RrdQqk63Xj0914STkS,Naomi Scott,289627,['vapor pop'],68
5sy77gt4bfsLcSQ8GIe4ZZ,Alan Menken,86814,"['broadway', 'disney', 'hollywood', 'movie tunes', 'show tunes']",65
50co4Is1HCEo8bhOyUWKpn,Young Thug,6187131,"['atl hip hop', 'atl trap', 'gangster rap', 'melodic rap', 'pop rap', 'rap', 'trap']",93
7cVZApDoQZpS447nHTsNqu,LeeHi,872771,"['k-pop', 'korean pop']",69
41qil2VaGbD194gaEcmmyx,Will Smith,764703,"['hip hop', 'pop rap']",73
7zYj9S9SdIunYCfSm7vzAR,SOMI,493962,['k-pop'],61
4rTv3Ejc7hKMtmoBOK1B4T,Ali Gatie,1693002,"['canadian hip hop', 'pop']",79
2Xr7M6vawpp6zwKOMU7iBU,Reneé Dominique,86466,['pinoy indie'],54
1dpv0XBdgUa5z4vzn7ahIz,Donnalyn,210000,['opm'],45
14scxEoUN7Dcx1m4EQ7oHe,Ashley O,58793,[],51
7oEWmZ9dKlAVxTgmjUbYr4,J Boog,229527,"['jawaiian', 'kaneka', 'polynesian pop']",64
3yzRiNMZdTsSUgplcyYZ4i,Blanco Brown,119044,['country rap'],67
2OYCiru0FZMaAXWn6eL7MA,VVS Collective,21806,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",45
0YrWkiT8pKvEu71t5Yllj7,Arvey,42536,"['pinoy hip hop', 'tagalog rap']",44
71hhKLR9oCOsHLdRIoQ5OU,King Badger,94371,"['pinoy hip hop', 'pinoy trap']",54
0HS00NN7MAfF59aJnfcxSO,Stephanie Poetri,463565,['indonesian pop'],63
6USMTwO0MNDnKte5a5h0xx,Y2K,265812,['pop rap'],71
1d8sE3eKAsuUHShVmIwK6d,Psychedelic Boyz,36812,"['pinoy alternative rap', 'pinoy hip hop', 'pinoy trap', 'tagalog rap']",38
4qIVPF0s71ZYW3qzhu5GkF,Kina,634032,['sad rap'],78
4Ga1P7PMIsmqEZqhYZQgDo,Lil Tecca,3682355,"['melodic rap', 'rap', 'trap']",85
117XFtbZPnCI1EYKjYZWJc,Skusta Clee,586788,"['opm', 'pinoy hip hop', 'tagalog rap']",70
2NjfBq1NflQcKSeiDooVjY,Tones And I,2743986,"['australian pop', 'pop']",82
181bsRPaVXVlUKXrxwZfHK,Megan Thee Stallion,4177109,"['houston rap', 'pop', 'pop rap', 'trap queen']",90
1juIpte4oHJ5ngVLPTUPuJ,Justin Vasquez,154415,"['opm', 'pinoy r&b']",55
1vcXQE9gZOF9PCAtdtT51L,Geo Ong,201707,"['pinoy alternative rap', 'pinoy hip hop', 'tagalog rap']",43
6C4irZ60X8G7UimMRQiCcg,X1,316397,['k-pop'],50
3g7vYcdDXnqnDKYFwqXBJP,SB19,144745,"['opm', 'pinoy idol pop']",58
28B54RKpJrEmDoGSTjsfY6,Magnus Haven,351396,['opm'],57
7z5WFjZAIYejWy0NI5lv4T,Dan + Shay,2227569,"['contemporary country', 'country', 'pop']",81
5BHFSMEjfLVx1JwRWjAOsE,SuperM,1530720,['k-pop'],67
6ZdzYE3CEgY0Umgi3Dsgv8,Michael Dutchi Libranda,222539,['opm'],51
4ofCBoyEiGSePFAG500xev,Regard,137397,"['dance pop', 'edm', 'pop dance', 'pop edm', 'slap house', 'tropical house']",82
3lFMRWaEWZlfXdBig97kks,Nik Makino,209669,"['pinoy hip hop', 'pinoy trap', 'tagalog rap']",56
0vRvGUQVUjytro0xpb26bs,Arizona Zervas,605844,"['pop rap', 'rhode island rap']",77
7FBcuc1gsnv6Y1nwFtNRCb,My Chemical Romance,5906408,"['emo', 'pop punk']",81
4jpsw9CQS439N0B7SecMgf,Ant Saunders,82179,"['chill r&b', 'pop']",62
66W9LaWS0DPdL7Sz8iYGYe,JP Saxe,253428,"['alt z', 'canadian contemporary r&b', 'indie cafe pop', 'pop', 'post-teen pop']",78
7xX15v6ahAkcT14kHfB9wB,True Damage,91593,['k-rap'],57
73Np75Wv2tju61Eo9Zw4IR,Idina Menzel,345765,"['hollywood', 'show tunes']",76
7vwlQ7XElRyPMJQGUXBz4O,Tatak Pinoy All-Stars,8546,[],39
1SrWbIDP84JcSDr0oTBAQw,Matthaios,700508,"['opm', 'pinoy hip hop', 'tagalog rap']",62
7KkqUt65v6LMtR369OQ6FB,Jonathan Groff,88185,"['hollywood', 'show tunes']",70
2kHxkdiKCSnHMkhIgFBZaI,Kristen Bell,67171,"['disney', 'hollywood']",70
4dSQICBjdUIp5iK6RRU2bY,Josh Gad,24156,"['hollywood', 'movie tunes', 'show tunes']",68
3MyB0MyKec3Jq0AH2llk7v,Evan Rachel Wood,20500,['hollywood'],65
70kkdajctXSbqSMJbQO424,Kacey Musgraves,949827,"['contemporary country', 'country dawn', 'pop', 'post-teen pop', 'texas country']",76
2SrSdSvpminqmStGELCSNd,Stormzy,2257000,"['grime', 'uk hip hop']",79
7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,610138,"['alternative r&b', 'melodic rap', 'pop rap']",77
4sEykiNSzZbkFkNXTb1bVd,Hotdog,40549,"['classic opm', 'manila sound', 'opm']",46
1vVHevk2PD45epYnDi9CCc,Jack Stauber,910799,['pittsburgh indie'],70
51Blml2LZPmy7TTiAg47vQ,U2,8271714,"['irish rock', 'permanent wave', 'rock']",83
6gbGGM0E8Q1hE511psqxL0,Ray J,709898,"['pop rap', 'r&b', 'urban contemporary']",63
391oLRVmoTkumiN79HkTWu,Darlene Love,38185,"['adult standards', 'brill building pop', 'motown']",46
0XATRDCYuuGhk0oE7C0o5G,MAMAMOO,3765597,"['k-pop', 'k-pop girl group']",74
790FomKkXshlbRYZFtlgla,KAROL G,16409583,"['latin', 'reggaeton', 'reggaeton colombiano', 'trap latino']",91
757aE44tKEUQEqRuT6GnEB,Roddy Ricch,6178408,"['melodic rap', 'rap', 'trap']",89
4r63FhuTkUYltbVAg5TQnk,DaBaby,6795132,"['north carolina hip hop', 'rap']",95
4Gso3d4CscCijv0lmajZWs,Don Toliver,1457434,"['rap', 'trap']",86
5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,6710150,"['dance pop', 'pop', 'pop rap']",95
4vxaQs6vK54nK89J1VtLex,PUBLIC,159087,['indie rockism'],69
4LLpKhyESsyAXpc4laK94U,Mac Miller,5868135,"['hip hop', 'pittsburgh rap', 'rap']",88
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON,1790912,"['boy band', 'hip hop', 'rap', 'underground hip hop']",81
2kxP07DLgs4xlWz8YHlvfh,NIKI,820973,"['chill r&b', 'indonesian r&b', 'pop']",74
1LZEQNv7sE11VDY3SdxQeN,Bee Gees,4430029,"['disco', 'mellow gold', 'soft rock']",82
3gz6bSc7rsT9g4cB7r4xac,Young Vito,573,[],5
2EGJbNf0Hva2C2N6hvhMXD,Soulstice,48546,"['pinoy hip hop', 'tagalog rap']",47
4XpUIb8uuNlIWVKmgKZXC0,ZICO,993207,"['k-pop', 'k-rap', 'korean r&b']",68
6Rx1JKzBrSzoKQtmbVmBnM,Hayley Williams,401074,[],72
137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,9963728,"['hip hop', 'pittsburgh rap', 'pop rap', 'rap', 'southern hip hop', 'trap']",89
4ETSs924pXMzjIeD6E9b4u,Surfaces,692154,"['bedroom soul', 'pop']",78
060TqET6tyyfAQLXDyIDD8,Raf Davis,27390,"['pinoy hip hop', 'pinoy trap']",50
4xXCRXOfQKQ2gjWxNhNzYW,Air Supply,2430365,"['adult standards', 'mellow gold', 'soft rock']",73
6bmlMHgSheBauioMgKv2tn,Powfu,871356,"['emo rap', 'sad rap']",80
3PDFGpPl4ienSn5Vwisfrh,Flow G,352902,"['opm', 'pinoy hip hop', 'pinoy r&b', 'tagalog rap']",65
7dxr6AabRWhsfYRyVJlErK,MC Einstein,20827,"['pinoy hip hop', 'tagalog rap']",59
0Cp8WN4V8Tu4QJQwCN5Md4,BENEE,620489,"['alt z', 'nz pop', 'pop']",76
3JsHnjpbhX4SnySpvpa9DK,V,3133752,['korean ost'],67
2Q9c6ETFOkDDTy53U7DIgr,Maximillian,385741,['opm'],67
74cb3MG0x0BOnYNW1uXYnM,Hillsong UNITED,2981139,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",76
4tw2Lmn9tTPUv7Gy7mVPI4,Kenny Rogers,1621585,"['adult standards', 'classic country pop', 'country', 'mellow gold', 'nashville sound', 'soft rock']",74
0H39MdGGX6dbnnQPt6NQkZ,SAINt JHN,708638,"['melodic rap', 'pop rap', 'rap', 'slap house', 'trap']",81
1Do4bSzfUl0KWL9r1fITu0,Yoon Mirae,233094,"['k-pop', 'korean ost', 'korean pop', 'korean r&b']",59
6dhfy4ByARPJdPtMyrUYJK,Yerin Baek,328885,"['k-indie', 'k-pop', 'korean pop']",64
0xRXCcSX89eobfrshSVdyu,MEDUZA,421249,"['dance pop', 'edm', 'pop dance', 'pop house', 'tropical house']",83
3r0NbTTxtCBUyxcIR4prXr,Jr Crown,69132,"['opm', 'pinoy hip hop', 'tagalog rap']",58
3FwNjtXQCdxpDOXmgJQGnG,Emman,193321,"['pinoy hip hop', 'tagalog rap']",54
2HPaUgqeutzr3jx5a9WyDV,PARTYNEXTDOOR,2980762,"['pop', 'pop rap', 'r&b', 'rap', 'toronto rap', 'trap', 'urban contemporary']",82
1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,127129,['tropical house'],75
3O5HD95HTEPgoPFOjAb7yV,DripReport,90849,['viral rap'],65
2TJHmhbmT7L3gw2NKyDTHh,Manu Pilas,27697,[],59
2AfmfGFbe0A0WsTYm0SDTx,(G)I-DLE,2539739,"['k-pop', 'k-pop girl group']",77
6eJqAWJdd8JhAN1pQGie4r,Casting Crowns,1361548,"['ccm', 'christian alternative rock', 'christian music', 'world worship', 'worship']",70
6L1XC7NrmgWRlwAeLJvVtA,Sam Fischer,107837,"['australian pop', 'dance pop', 'indie cafe pop', 'pop', 'post-teen pop', 'uk pop']",77
6nfDaffa50mKtEOwR8g4df,GOT7,4883473,"['k-pop', 'k-pop boy group']",73
3ybZTNrlK0QhL4rBxfLHOc,Gaho,207423,['k-pop'],64
2PaZWGu5T5nHjY2xxAkFsT,THE SCOTTS,177533,['pop rap'],70
59IohbmVWokN339BcxYt1S,Danzz,188,[],8
63yrD80RY3RNEM2YDpUpO8,Melanie Martinez,10254551,"['alt z', 'electropop', 'pop']",83
3qNVuliS40BLgXGxhdBdqu,TAEYEON,1857711,['k-pop'],72
