track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id,playlist_name
0dRhSF9LV0HR8Jwd3MMMKJ,Everytime,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,230306,2003-11-13,64,0.398,0.284,3,-12.852,1,0.0337,0.966,8.57e-05,0.116,0.114,109.599,0dRhSF9LV0HR8Jwd3MMMKJ,0dRhSF9LV0HR8Jwd3MMMKJ
1Vp8uI65XCMI1H0nSW2kkB,Make Me... (feat. G-Eazy),26dSoYclwsYLMAKD3tpOr4,Britney Spears,2J4MY6zdu4wzkMbweSziND,230960,2016,0,0.701,0.7,7,-6.672,0,0.0925,0.146,0.0,0.206,0.592,122.984,1Vp8uI65XCMI1H0nSW2kkB,1Vp8uI65XCMI1H0nSW2kkB
2vPCRs3g0vdLU8sHlAEytO,Outrageous,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,201906,2003-11-13,53,0.828,0.662,7,-6.419,1,0.0461,0.0394,2.02e-05,0.191,0.847,105.014,2vPCRs3g0vdLU8sHlAEytO,2vPCRs3g0vdLU8sHlAEytO
2i9q8CteBmpslOJeQdMGqA,Slumber Party feat. Tinashe,26dSoYclwsYLMAKD3tpOr4,Britney Spears,7gALIuQHKvpZR8EtbNZ7qK,213534,2016-08-26,57,0.752,0.784,0,-4.941,1,0.0754,0.322,0.0,0.11,0.464,135.039,2i9q8CteBmpslOJeQdMGqA,2i9q8CteBmpslOJeQdMGqA
1xg1yGPy1Y3YUf44s6TB1o,"I'm Not a Girl, Not Yet a Woman",26dSoYclwsYLMAKD3tpOr4,Britney Spears,5ax3GTsfX5uCUaNgnJsSG5,231066,2001-10-31,60,0.534,0.543,3,-6.857,1,0.0245,0.579,0.0,0.112,0.418,78.996,1xg1yGPy1Y3YUf44s6TB1o,1xg1yGPy1Y3YUf44s6TB1o
3OitWDgR4SzAUOm3TBmvhw,Don't Let Me Be the Last to Know,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5PmgtkodFl2Om3hMXONDll,230933,2000-05-16,56,0.632,0.756,4,-6.567,1,0.0417,0.159,0.0,0.273,0.713,138.96,3OitWDgR4SzAUOm3TBmvhw,3OitWDgR4SzAUOm3TBmvhw
0PGxTaUcMggyJxTyLy0uOx,Get Naked (I Got a Plan),26dSoYclwsYLMAKD3tpOr4,Britney Spears,1ePkYcH5ZQCb1b4tQeiEDj,285080,2007-10-25,54,0.734,0.856,6,-4.592,0,0.056,0.0642,0.000475,0.0442,0.67,115.027,0PGxTaUcMggyJxTyLy0uOx,0PGxTaUcMggyJxTyLy0uOx
2CQImhAzAHvni74Cr4azTM,Do You Wanna Come Over?,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2J4MY6zdu4wzkMbweSziND,203360,2016,0,0.751,0.696,4,-6.027,1,0.0657,0.00618,0.00258,0.107,0.446,121.0,2CQImhAzAHvni74Cr4azTM,2CQImhAzAHvni74Cr4azTM
6QicTxeiSaRkPnkGDUvYOs,Pretty Girls,26dSoYclwsYLMAKD3tpOr4,Britney Spears,76LmTxakuFgfAmvUvEXz5S,163960,2015-05-04,61,0.834,0.831,7,-6.061,0,0.0745,0.00799,0.0,0.217,0.788,103.009,6QicTxeiSaRkPnkGDUvYOs,6QicTxeiSaRkPnkGDUvYOs
5epx5YtoMbV0GrL9qx9kVY,(I Got That) Boom Boom (feat. Ying Yang Twins),26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,289400,2003-11-13,54,0.864,0.87,8,-2.77,1,0.147,0.119,0.0,0.508,0.837,109.987,5epx5YtoMbV0GrL9qx9kVY,5epx5YtoMbV0GrL9qx9kVY
2ZUJj80Mfmj13MKJXf9pnP,Matches,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0HNwkSSzXvc50qL1sM99oJ,172906,2020-12-11,59,0.957,0.507,0,-6.206,1,0.0539,0.0451,0.0,0.0543,0.817,123.998,2ZUJj80Mfmj13MKJXf9pnP,2ZUJj80Mfmj13MKJXf9pnP
6Nc2n959qhnnE8rpR1CWuC,Just Luv Me,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2J4MY6zdu4wzkMbweSziND,241453,2016,0,0.616,0.492,9,-9.79,0,0.0609,0.158,0.0071,0.139,0.361,91.997,6Nc2n959qhnnE8rpR1CWuC,6Nc2n959qhnnE8rpR1CWuC
70XtWbcVZcpaOddJftMcVi,From the Bottom of My Broken Heart,26dSoYclwsYLMAKD3tpOr4,Britney Spears,3WNxdumkSMGMJRhEgK80qx,312533,1999-01-12,54,0.677,0.665,7,-5.171,1,0.0305,0.56,1.01e-06,0.338,0.706,74.981,70XtWbcVZcpaOddJftMcVi,70XtWbcVZcpaOddJftMcVi
4rl0xZYeGwqV43wh8qhQXX,The Hook Up,26dSoYclwsYLMAKD3tpOr4,Britney Spears,0z7pVBGOD7HCIB7S8eLkLI,234000,2003-11-13,49,0.686,0.805,6,-3.094,1,0.0991,0.137,0.0,0.068,0.87,172.059,4rl0xZYeGwqV43wh8qhQXX,4rl0xZYeGwqV43wh8qhQXX
6dKYAtGciLRm8uOD1LiSVf,Anticipating,26dSoYclwsYLMAKD3tpOr4,Britney Spears,5ax3GTsfX5uCUaNgnJsSG5,196106,2001-10-31,50,0.717,0.877,0,-4.266,1,0.0375,0.0136,0.000814,0.0616,0.794,111.0,6dKYAtGciLRm8uOD1LiSVf,6dKYAtGciLRm8uOD1LiSVf
55mqjVWJDJ3AWxln12e3ro,Just Like Me,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2J4MY6zdu4wzkMbweSziND,164533,2016,0,0.751,0.591,9,-7.091,0,0.0451,0.0734,1.82e-05,0.108,0.563,101.942,55mqjVWJDJ3AWxln12e3ro,55mqjVWJDJ3AWxln12e3ro
5Z6g00iJz56QXHZ62jLcKy,Man On The Moon,26dSoYclwsYLMAKD3tpOr4,Britney Spears,2J4MY6zdu4wzkMbweSziND,226640,2016,0,0.711,0.668,7,-5.962,0,0.0385,0.0311,9.51e-06,0.101,0.318,110.026,5Z6g00iJz56QXHZ62jLcKy,5Z6g00iJz56QXHZ62jLcKy
0mRWl4amZn1FtRx2cE5jf3,SMS (Bangerz) (feat. Britney Spears),5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,3RDqXDc1bAETps54MSSOW0,169440,2013-10-04,52,0.837,0.914,11,-4.247,0,0.0511,0.0188,0.000278,0.0969,0.887,139.029,0mRWl4amZn1FtRx2cE5jf3,0mRWl4amZn1FtRx2cE5jf3
717TY4sfgKQm4kFbYQIzgo,Toxic,26dSoYclwsYLMAKD3tpOr4,Britney Spears,574xhx2X0G9MkqACxqi4cg,198813,2004,57,0.774,0.847,5,-3.925,0,0.121,0.0279,0.0183,0.241,0.923,143.011,717TY4sfgKQm4kFbYQIzgo,717TY4sfgKQm4kFbYQIzgo
5IVuqXILoxVWvWEPm82Jxr,Crazy In Love (feat. Jay-Z),6vWDO969PvNqNYHIOW5v0m,Beyoncé,6oxVabMIqCMJRYN1GqR3Vf,236133,2003-06-24,77,0.646,0.77,2,-6.596,0,0.226,0.00249,0.0,0.0715,0.681,99.165,5IVuqXILoxVWvWEPm82Jxr,5IVuqXILoxVWvWEPm82Jxr
4rHZZAmHpZrA3iH5zx8frV,Mirrors,31TPClRtHm23RisEBtV3X7,Justin Timberlake,0O82niJ0NpcptYRxogeEZu,484146,2013-03-15,80,0.574,0.512,5,-6.664,0,0.0503,0.234,0.0,0.0946,0.512,76.899,4rHZZAmHpZrA3iH5zx8frV,4rHZZAmHpZrA3iH5zx8frV
47BBI51FKFwOMlIiX6m8ya,I Want It That Way,5rSXSAkZ67PYJSvpUpkOr7,Backstreet Boys,5ySxm9hxBNss01WCL7GLyQ,213306,1999-05-18,79,0.689,0.694,6,-5.83,0,0.027,0.257,0.0,0.148,0.482,99.039,47BBI51FKFwOMlIiX6m8ya,47BBI51FKFwOMlIiX6m8ya
3ZFTkvIE7kyPt6Nu3PEa7V,Hips Don't Lie (feat. Wyclef Jean),0EmeFodog0BfCgMzAIvKQp,Shakira,5ppnlEoj4HdRRdRihnY3jU,218093,2005-11-28,83,0.778,0.824,10,-5.892,0,0.0712,0.284,0.0,0.405,0.756,100.024,3ZFTkvIE7kyPt6Nu3PEa7V,3ZFTkvIE7kyPt6Nu3PEa7V
27SdWb2rFzO6GWiYDBTD9j,Cheap Thrills,5WUlDfRSoLAfcVSX1WnrxN,Sia,77jAfTh3KH9K2reMOmTgOh,211666,2016-01-29,76,0.628,0.698,6,-5.608,0,0.105,0.0472,0.00143,0.0907,0.732,89.976,27SdWb2rFzO6GWiYDBTD9j,27SdWb2rFzO6GWiYDBTD9j
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1gMxiQQSg5zeu4htBosASY,192120,2015-11-13,81,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,2K87XMYnUMqLcX3zvtAF4G,2K87XMYnUMqLcX3zvtAF4G
5WQ1hIc5d2EVbRQ8qsj8Uh,Hey Ya! - Radio Mix / Club Mix,1G9G7WwrXka3Z1r7aIDjI7,Outkast,00XMrHZoOsYLmiyx890axX,235213,2003-09-23,1,0.719,0.967,0,-2.435,1,0.0552,0.0588,0.000249,0.206,0.964,79.505,5WQ1hIc5d2EVbRQ8qsj8Uh,5WQ1hIc5d2EVbRQ8qsj8Uh
6IwKcFdiRQZOWeYNhUiWIv,No One,3DiDSECUqqY1AuBP8qtaIa,Alicia Keys,6KlxyxhXEDo1LdheFulN7h,253813,2007-11-09,79,0.644,0.549,1,-5.415,0,0.0285,0.0209,8.85e-06,0.134,0.167,90.04,6IwKcFdiRQZOWeYNhUiWIv,6IwKcFdiRQZOWeYNhUiWIv
2vwlzO0Qp8kfEtzTsCXfyE,Wrecking Ball,5YGY8feqx7naU7z4HrwZM6,Miley Cyrus,3RDqXDc1bAETps54MSSOW0,221360,2013-10-04,76,0.53,0.422,5,-6.262,1,0.0342,0.407,0.0,0.107,0.349,119.964,2vwlzO0Qp8kfEtzTsCXfyE,2vwlzO0Qp8kfEtzTsCXfyE
2Cd9iWfcOpGDHLz6tVA3G4,Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song] (feat. Freshlyground),0EmeFodog0BfCgMzAIvKQp,Shakira,3pzQF7YgU1f66pBayA8uHv,202626,2010-05-07,78,0.766,0.873,11,-6.381,0,0.143,0.00627,0.0,0.0764,0.743,126.988,2Cd9iWfcOpGDHLz6tVA3G4,2Cd9iWfcOpGDHLz6tVA3G4
4VrWlk8IQxevMvERoX08iC,Chandelier,5WUlDfRSoLAfcVSX1WnrxN,Sia,3xFSl9lIRaYXIYkIn3OIl9,216120,2014-07-04,78,0.399,0.787,1,-2.88,1,0.0499,0.0197,6.07e-05,0.0685,0.572,117.089,4VrWlk8IQxevMvERoX08iC,4VrWlk8IQxevMvERoX08iC
