track_id,track_name,artist_id,artist_name,album_id,duration,release_date,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,playlist_id_x,playlist_name_x,playlist_id_y,playlist_name_y,duration_mins,genre
2K87XMYnUMqLcX3zvtAF4G,Drag Me Down,4AK6F7OLvEQ5QYCBNiQWHq,One Direction,1gMxiQQSg5zeu4htBosASY,192120,2015-11-13,81,0.73,0.703,0,-5.672,0,0.0369,0.109,0.0,0.0657,0.595,138.113,2K87XMYnUMqLcX3zvtAF4G,2K87XMYnUMqLcX3zvtAF4G,0F8apkuk3ZTmLp5j1B41kG,Post-Teen Pop For You,3.202,post-teen pop
21jGcNKet2qwijlDFuPiPb,Circles,246dkjvS1zLTtiykXe5h60,Post Malone,4g1ZRSobMefqF6nelkgibi,215280,2019-09-06,88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.588,post-teen pop
21jGcNKet2qwijlDFuPiPb,Circles,246dkjvS1zLTtiykXe5h60,Post Malone,4g1ZRSobMefqF6nelkgibi,215280,2019-09-06,88,0.695,0.762,0,-3.497,1,0.0395,0.192,0.00244,0.0863,0.553,120.042,21jGcNKet2qwijlDFuPiPb,21jGcNKet2qwijlDFuPiPb,74962idCjiGug4VcWVU4E8,Post-teen pop,3.588,post-teen pop
2Fxmhks0bxGSBdJ92vM42m,bad guy,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0S0KGZnfBGSIssfF54WSJh,194087,2019-03-29,87,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.234783333333333,post-teen pop
2Fxmhks0bxGSBdJ92vM42m,bad guy,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,0S0KGZnfBGSIssfF54WSJh,194087,2019-03-29,87,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,2Fxmhks0bxGSBdJ92vM42m,2Fxmhks0bxGSBdJ92vM42m,6MDwBnbU0MivWHgeqdEe4g,post-teen pop,3.234783333333333,post-teen pop
4umIPjkehX1r7uhmGvXiSV,Intentions (feat. Quavo),1uNFoZAHBGtllmzznpCI3s,Justin Bieber,63iWSELt9V1kV6RSMxN7Ii,212866,2020-02-14,79,0.806,0.546,9,-6.637,1,0.0575,0.3,0.0,0.102,0.874,147.986,4umIPjkehX1r7uhmGvXiSV,4umIPjkehX1r7uhmGvXiSV,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.5477666666666665,post-teen pop
2JzZzZUQj3Qff7wapcbKjc,See You Again (feat. Charlie Puth),137W8MRPWKqSmrBGDBFSop,Wiz Khalifa,5FXIqS1XqbpfOKNoi5VUwS,229525,2015,81,0.689,0.481,10,-7.503,1,0.0815,0.369,1.03e-06,0.0649,0.283,80.025,2JzZzZUQj3Qff7wapcbKjc,2JzZzZUQj3Qff7wapcbKjc,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.8254166666666665,post-teen pop
0VjIjW4GlUZAMYd2vXMi3b,Blinding Lights,1Xyo4u8uXC1ZmMpatF05PJ,The Weeknd,4yP0hdKOZPNshxUOjY0cZj,200040,2020-03-20,94,0.514,0.73,1,-5.934,1,0.0598,0.00146,9.54e-05,0.0897,0.334,171.005,0VjIjW4GlUZAMYd2vXMi3b,0VjIjW4GlUZAMYd2vXMi3b,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.334,post-teen pop
2rRJrJEo19S2J82BDsQ3F7,Falling,7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,1Hy76RlNvOHe6cpih1RxXq,159381,2020-03-26,76,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,2rRJrJEo19S2J82BDsQ3F7,2rRJrJEo19S2J82BDsQ3F7,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.65635,post-teen pop
2rRJrJEo19S2J82BDsQ3F7,Falling,7uaIm6Pw7xplS8Dy06V6pT,Trevor Daniel,1Hy76RlNvOHe6cpih1RxXq,159381,2020-03-26,76,0.784,0.43,10,-8.756,0,0.0364,0.123,0.0,0.0887,0.236,127.087,2rRJrJEo19S2J82BDsQ3F7,2rRJrJEo19S2J82BDsQ3F7,0iXeo8JpP1y8hpGQOK4bJv,Post-Teen Pop,2.65635,post-teen pop
3Dv1eDb0MEgF93GpLXlucZ,Say So,5cj0lLjcoR7YOSnhnX0Po5,Doja Cat,1MmVkhiwTH0BkNOU3nw5d3,237893,2019-11-07,84,0.787,0.673,11,-4.577,0,0.158,0.256,3.57e-06,0.0904,0.786,110.962,3Dv1eDb0MEgF93GpLXlucZ,3Dv1eDb0MEgF93GpLXlucZ,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.9648833333333333,post-teen pop
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,5JZ7CnR6gTvEMKX4g70Amv,Lauv,13yMsBNa2femeWzhcDOqFw,162582,2019-01-24,7,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,7COXchtUOMd6uIT6HvmRaI,7COXchtUOMd6uIT6HvmRaI,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.7097,post-teen pop
7COXchtUOMd6uIT6HvmRaI,i'm so tired...,5JZ7CnR6gTvEMKX4g70Amv,Lauv,13yMsBNa2femeWzhcDOqFw,162582,2019-01-24,7,0.599,0.733,11,-7.058,1,0.203,0.176,0.0,0.242,0.534,102.211,7COXchtUOMd6uIT6HvmRaI,7COXchtUOMd6uIT6HvmRaI,74962idCjiGug4VcWVU4E8,Post-teen pop,2.7097,post-teen pop
4y3OI86AEP6PQoDE6olYhO,Sucker,7gOdHgIoIKoe4i9Tta6qdD,Jonas Brothers,4W0r9HOcuCC6Vh7aze2hwi,181040,2019-03-01,9,0.842,0.734,1,-5.065,0,0.0588,0.0427,0.0,0.106,0.952,137.958,4y3OI86AEP6PQoDE6olYhO,4y3OI86AEP6PQoDE6olYhO,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.017333333333333,post-teen pop
7ce20yLkzuXXLUhzIDoZih,Before You Go,4GNC7GD6oZMSxPGyXy4MNB,Lewis Capaldi,0488X5veBK6t3vSmIiTDJY,215106,2019-11-19,81,0.459,0.575,3,-4.858,1,0.0573,0.604,0.0,0.0885,0.183,111.881,7ce20yLkzuXXLUhzIDoZih,7ce20yLkzuXXLUhzIDoZih,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,3.5851,post-teen pop
62aP9fBQKYKxi7PDXwcUAS,ily (i love you baby) (feat. Emilee),1lmU3giNF3CSbkVSQmLpHQ,Surf Mesa,4MHHajvRTUHItDsvfdIC8B,176546,2019-11-26,84,0.674,0.774,11,-7.567,0,0.0892,0.0686,0.00188,0.393,0.33,112.05,62aP9fBQKYKxi7PDXwcUAS,62aP9fBQKYKxi7PDXwcUAS,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,2.9424333333333332,post-teen pop
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4i3rAwPw7Ln2YrKDusaWyT,245425,2019-11-13,85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,3WvcD9vDDwe2KNBAWEJV95,Post-teen pop,4.090416666666667,post-teen pop
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4i3rAwPw7Ln2YrKDusaWyT,245425,2019-11-13,85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,6KJMqtyLSLuooDKFJnCiiz,post-teen pop,4.090416666666667,post-teen pop
3ZCTVFBt2Brf31RLEnCkWJ,everything i wanted,6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish,4i3rAwPw7Ln2YrKDusaWyT,245425,2019-11-13,85,0.704,0.225,6,-14.454,0,0.0994,0.902,0.657,0.106,0.243,120.006,3ZCTVFBt2Brf31RLEnCkWJ,3ZCTVFBt2Brf31RLEnCkWJ,6MDwBnbU0MivWHgeqdEe4g,post-teen pop,4.090416666666667,post-teen pop
